url,food,course,ingredients,instructions
https://www.kawalingpinoy.com/ginisang-pusit/,Ginisang Pusit,Main Entree,"2 pounds squid, 1/2 cup vinegar, 4 cloves garlic, peeled and minced, 1/2 teaspoon peppercorns, cracked, 1 bay leaf, 2 tablespoons canola oil, 1 onion, peeled and thinly sliced, 2 large Roma tomatoes, chopped, 1 tablespoon fish sauce, salt and pepper to taste","Hold the tail tube portion of the squid and with fingers and pull the cuttlebone (the thin, clear cartilage inside the tube) from inside the body, leaving the ink sack intact. Rinse squid thoroughly and drain well.
In a pot over medium heat, combine squid, vinegar, 2 cloves of the garlic, peppercorns, and bay leaf. Bring to a boil for about 3 to 5 minutes or just until squid changes color.
Remove from heat and drain, reserving about 1 cup of the liquid.
In a pan over medium heat, heat 1 tablespoon of the oil. Add onions and the remaining 2 cloves garlic and cook until softened.
Add tomatoes and cook, mashing with the back of a spoon, until softened.
Add fish sauce and cook for about 1 to 2 minutes.
Add squid and cook, stirring regularly, for about 1 minute.
Add reserved liquid and continue to cook until squid is cooked through and sauce is reduced.
Add the remaining tablespoon of oil and toss.
Season with salt and pepper to taste. Serve hot."
https://www.kawalingpinoy.com/polvoron/,Polvoron,Dessert,"2 cups flour, 1 cup powdered full cream milk (Nido), 1 cup sugar, 1 cup butter, melted, 1/2 cup pinipig, 1/2 cup unsalted cashew or peanut, 6 Oreo cookies, 1 tablespoon butter, melted","In a skillet over medium heat, add flour. Toast, stirring regularly, until lightly browned and aromatic. Remove from heat and allow to cool.
In a bowl, whisk together toasted flour, powdered milk, and sugar until well-combined. Add butter and continue to stir until well-combined.
Transfer mixture into a flat baking dish and using a polvoron mold, shape into solid cookies. Make sure mold is as compact as possible. 
Arrange in a single layer on a baking sheet and freeze until firm for about 30 minutes.
 Wrap individually in cellophane or Japanese paper wrappers."
https://www.kawalingpinoy.com/ube-maja-blanca/,Ube Maja Blanca,Dessert,"2 cups coconut cream, 2 cans (13.5 ounces each) coconut milk, 1 can (14 ounces) sweetened condensed milk, 1 can (12 ounces) evaporated milk, 2 cups cooked ube, mashed, 3/4 cup sugar, 4 drops ube extract, 1/2 cup water, 3/4 cup cornstarch","In a pan over medium heat, add coconut cream and bring to a boil. Continue to cook, stirring occasionally, until liquid starts to thicken. Lower heat and simmer. 
As the oil starts to separate and solids begin to form, regularly stir and scrape sides and bottom of the pan to prevent from burning. Continue to cook and stir until curds turn golden brown.
In a fine-mesh sieve, drain latik from the oil. Set aside.
Brush bottom and sides of a 9 x 13 baking dish with coconut oil (from cooking the latik). Set aside.
In a large pot, combine coconut milk, evaporated milk, condensed milk, mashed ube, and sugar. Stir well until blended.
Over medium heat, bring to a gentle boil, stirring regularly, until well-combined and sugar is dissolved.
Add ube extract, if using. Stir until well-dispersed.
In a small bowl, combine slowly add cornstarch to the water. Stir well until cornstarch is dissolved.
Slowly add cornstarch mixture into milk mixture, whisking vigorously to prevent lumps. Continue to cook, whisking continuously, until mixture thickens to a very thick paste.
Transfer mixture into prepared dish, smoothing top with a lightly oiled spatula or knife.
Allow to slightly cool, cover and refrigerate for about 1 to 2 hours or until completely cooled and set.
Brush top with coconut oil and top with latik. Cut into squares to serve."
https://www.kawalingpinoy.com/adobong-talaba/,Adobong Talaba,Main Entree,"1 tablespoon canola oil, 2 tablespoons butter, 1 onion, peeled and chopped, 4 cloves garlic, peeled and minced, 2 thumb size ginger, peeled and julienned, 2 pounds oysters, (meat only), drained well, 1/4 cup soy sauce, pepper to taste, 1/4 cup calamansi juice, salt to taste","In a pan over medium heat, heat oil. Add butter.
Add onions, garlic, and ginger. Cook until softened.
Add oysters and saute for about 1 minute.
Add soy sauce, pepper, and Thai chili peppers. Cook for about 1 minute.
Add calamansi juice and bring to a boil. Continue to cook for about 2 to 3 minutes or until sauce is slightly reduced.
Season with salt to taste. Serve hot."
https://www.kawalingpinoy.com/miswa-at-patola-soup/,Miswa at Patola Soup,"Main Entree, Soup","3 medium patola, 1 tablespoon canola oil, 1 onion, 2 cloves garlic, 1/2 pound ground pork, 1 tablespoon fish sauce, 2 cups water, 2 ounces miswa noodles, salt and pepper to taste","Cut off both ends of the patola and discard. Using a vegetable peeler, peel the skin. Slice the peeled gourd crosswise into about 1/4-inch thick.
In a wide pan over medium heat, heat oil. Add onions and garlic and cook until softened.
Add pork and cook, breaking apart with the back of a spoon, until lightly browned.
Add fish sauce and continue to cook, stirring occasionally, for about 1 to 2 minutes.
Add water and bring to a boil, skimming any scum that may float on top.
Lower heat and cook for about 10 minutes or until pork is tender.
Add patola and cook for about 3 to 5 minutes or until tender yet crisp.
Add miswa noodles and cook for about 1 to 2 minutes or until softened.
Season with salt and pepper to taste. Serve hot."
https://www.kawalingpinoy.com/ginataang-mais/,Ginataang Mais,"Dessert, Snack","3 fresh corn cobs or 1 1/2 cups canned corn kernels, 2 cans (13.5 ounces) coconut milk, 3 cups water, 1 cup glutinous rice, rinsed and drained well, 1 1/2 cups coconut cream, 1 cup sugar","Shuck the corn cobs by removing the husks and silks. Using a sharp knife, cut the stem ends.
In a large bowl, stand an ear of corn up and using a small knife, thinly cut the kernels off from top to bottom. Rotate the corn when done with each section to get to the next.
Using a spoon, scrape the sides of the cobs using a spoon to extract the remaining pulp and milky juice.
In a pot over medium heat, combine coconut milk and water and bring to a simmer.
Add rice and fresh corn kernels and stir to combine. If using canned corn, add later along with the coconut cream and sugar.
Lower heat and continue to cook, stirring occasionally, for about 15 to 20 minutes or until rice begins to expand and soften.
Add 1 cup of the coconut cream and sugar, stirring until sugar is dissolved. Continue to cook, stirring occasionally for about 8 to 10 minutes or rice is cooked through and the mixture is thickened.
Ladle into serving bowls and drizzle with the remaining 1/2 cup of coconut cream as desired. Serve warm or cold."
https://www.kawalingpinoy.com/ginataang-halo-halo/,Ginataang Halo-halo,"Breakfast, Dessert, Snack","1 cup glutinous rice flour, 2 1/2 cups water, 3 cans (13.5 ounces each) coconut milk, 2 (about 4 cups) large camote, peeled and cubed, 2 (about 2 cups) saba bananas, peeled and cubed, 1 cup cooked sago, 1 cup jackfruit strips, 1 cup coconut cream, 1 cup sugar","In a small bowl, combine glutinous rice flour and 1/2 cup of the water into a pliable dough. If the dough is too sticky, add more flour; if too crumbly, add more water. 
Using the palms of your hands, form dough into smooth balls the size of marbles.  Arrange shaped dough balls in a single layer on a baking sheet or shallow plate and cover with a cloth until ready to use.
In a large pot over medium heat, combine coconut milk and the remaining 2 cups water. Bring to a simmer.
Add camote and cook for about 3 to 5 minutes or until almost tender. 
Add bananas, sago, and jackfruit and cook for about 3 to 5 minutes. 
Add glutinous rice balls and cook for about 3 to 5 minutes or until they start to float on top.
Add sugar and stir until dissolved. 
Add coconut cream and continue to cook until bananas and camote are tender and the sauce thickens to desired consistency.
Serve warm or cold."
https://www.kawalingpinoy.com/toyomansi-pork-chops/,Toyomansi Pork Chops,Main Entree,"6 center cut pork loin rib chops, bone-in and about 1/2-inch thick, 1/4 teaspoon pepper, 1/2 cup soy sauce, 1/4 cup calamansi juice, 4 cloves garlic, peeled and minced, canola oil","Rinse the pork chops and pat dry. Season with pepper to taste.
In a bowl, combine soy sauce, calamansi juice, and garlic.
Add pork chops, massaging marinade onto meat. Cover with film (or transfer into a resealable bag) and marinate in refrigerator for at least 30 minutes or up to 4 hours.
In a pan over medium-high heat, heat oil until hot but not smoking.
Drain pork chops well, discarding marinade.
Add to hot oil in a single layer and cook for about 2 to 3 minutes or until nicely seared. Turn to the other side and continue to cook for another 1 to 2 minutes or until nicely seared and a thermometer in the center reads 145 F.
Remove from pan and let rest for about 2 to 3 minutes before slicing."
https://www.kawalingpinoy.com/pancit-molo/,Pancit Molo,Soup,"1 tablespoon canola oil, 1 onion, peeled and chopped, 4 cloves garlic, peeled and minced, 3 pounds bone-in chicken parts (wings, thighs, breast), 12 cups boiling water, 1 teaspoon pepper corns, 2 bay leaves, 1 tablespoon salt, 1 pound ground pork, 1/2 cup green onions, finely chopped, 1/2 cup water chestnuts, finely chopped, 1 small carrot, peeled and shredded, 3 cloves garlic, peeled and minced, 1 teaspoon soy sauce, 1 teaspoon salt, 1/2 teaspoon pepper, 30 pieces Molo or wonton wrappers, 1 tablespoon canola oil, 1 onion, peeled and sliced thinly, 2 cloves garlic, peeled and minced, 1 tablespoon fish sauce, 10 cups homemade broth, salt and pepper to taste, green onions, chopped, fried garlic bits","In a deep pot over medium heat, heat oil. Add onions and garlic and cook until softened.
Add chicken and cook, occasionally stirring, for about 5 to 7 minutes or until color changes. Lower heat, cover, and cook for about 15 to 20 minutes or until the chicken releases its juices.
Raise heat to high and add boiling water.
Add bay leaves, peppercorns, and salt.
Bring to a boil. Skim scum that accumulates on top.
Lower heat and return to simmer for another 10 to 15 minutes or until chicken is cooked through.
With a slotted spoon, remove chicken pieces. Allow to cool to touch and remove meat from bones. Shred the meat and set aside. Break bones to expose marrow and return to pot.
Continue to cook at barely a simmer, uncovered, for about 1 to 1 1/2 hours or until liquid is reduced and concentrated.
Using a cheesecloth, strain stock to remove bones and aromatics."
https://www.kawalingpinoy.com/sinigang-na-salmon-belly-sa-kamias/,Sinigang na Salmon Belly sa Kamias,"Main Entree, Soup","6 cups water, 1 tablespoon fish sauce, 2 cups kamias, 1 small onion, peeled and quartered, 2 medium tomatoes, quartered, 1 banana chili, 1 cup labanos (radish), peeled and cut into chunks, 1 cup long beans, ends trimmed and cut into 3-inch lengths, 1 pound salmon belly, scaled and cut into pieces, 1 eggplant, stemmed and cut into chunks, 4 pieces okra, ends trimmed, salt to taste, 1 bunch bok choy","In a large pot over medium heat, bring water to a boil. Add fish sauce.
Add kamias, onions, tomatoes, and chili pepper. Cook for about 1 to 2 minutes.
Add radish and cook for about 1 to 2 minutes.  
Add long beans, eggplant, and okra and continue to cook for 2 to 3 minutes.
Add bok choy and cook for another 1 to 2 minutes. 
Add salmon and continue to cook for about 7 to 10 minutes or until fish changes color and flakes easily and vegetables are tender yet crisp. 
Season with salt to taste. Serve hot."
