url,food,course,ingredients,instructions
https://panlasangpinoy.com/pinoy-chicken-sopas/,Pinoy Chicken Sopas,Soup,"1 lb. rotisserie chicken shredded, 2 Knorr Chicken Cubes, ¾ cup hotdog cubed, 1 cup cabbage sliced, 3 stalks celery diced, 1 carrot minced, 1 cup evaporated milk, 8 ounces elbow macaroni, 1 onion minced, 3 cloves garlic minced, 8 cups water, 3 tablespoons cooking oil, Fish sauce and ground black pepper to taste","Heat cooking oil in a cooking pot. Sauté onion, garlic, and celery for 1 minute.
Add the shredded chicken, hot dogs, and 1 tablespoon of fish sauce. Cook for 1 minute.
Pour the water and let it boil.
Add Knorr chicken cube. Cover the cooking pot. Adjust the heat of your stove to the lowest setting. Cook for 10 minutes.
Add elbow macaroni. Continue cooking for 18 minutes.
Add cabbage and evaporated milk.
Season with ground black pepper and fish sauce if needed.
Serve hot. Share and enjoy!"
https://panlasangpinoy.com/kfc-style-popcorn-chicken-with-gravy/,Popcorn Chicken and Gravy KFC Style Secret Recipe,Main Course,"1 lb. boneless chicken breast cubed, 1 cup cooking oil, 1 cup buttermilk, 1 tablespoon Knorr Liquid Seasoning, 1 cup all-purpose flour, 1/4 teaspoon salt, 1/4 teaspoon thyme, 1/4 teaspoon basil, 1/4 teaspoon oregano, 1/2 teaspoon celery salt, 1/2 teaspoon ground black pepper, 1/2 teaspoon dried mustard, 2 teaspoons paprika, 1 teaspoon garlic salt, 1/2 teaspoon ground ginger, 1 1/2 teaspoons white pepper, 1 Knorr Chicken Cube, 1/4 cup all-purpose flour, 1/4 cup butter, 2 cups water, 1/4 teaspoon onion powder, 1/4 teaspoon garlic powder, Salt and ground black pepper to taste","Start making the popcorn chicken by combining buttermilk and Knorr Liquid seasoning in a mixing bowl. Stir until blended. Add the cubed chicken breast. Marinate for at least 1 hour.
Meanwhile, make the gravy by melting the butter in a saucepan. Wait for it to bubble and then gradually add the flour while stirring once the bubbles subside. Continue cooking and stirring until the mixture turns medium brown in color. Gradually add water. Stir until the mixture becomes smooth. Add Knorr Chicken Cube, garlic powder, onion powder, salt, and ground black pepper. Stir and set aside. Cover the pot to keep the gravy warm.
Continue working on the popcorn chicken by combining all the breading ingredients in a bowl. Mix well.
Heat the oil in a small cooking pot.
Dredge the marinated chicken in the breading mixture making sure that it is completely coated. Shake off excess breading.
Deep fry the breaded chicken for 3 to 4 minutes or until it turns golden brown.
Serve with your favorite side dish and gravy. Share and enjoy!"
https://panlasangpinoy.com/idol-cheesedog-bites-and-bread-roll/,Idol Cheesedog Bread Roll and Bites,Snacks,"12 CDO Idol Cheesedog, 2 cups all-purpose flour, 1 ¼ cup evaporated milk, 1 egg, 2 teaspoons canola oil, 2 teaspoons baking powder, 2 teaspoon salt, 1 egg, 1 tablespoon evaporated milk, 12 CDO Idol Cheesedog, 12 sliced tasty bread, ¼ cup mayonnaise, 1 cup Panko breadcrumbs, 2 eggs beaten, 1 ½ cups cooking oil","Start making the idol bites by preparing the dough. Combine flour, evaporated milk, and salt in a bowl. Mix well and set aside. On another bowl, combine milk, canola oil, and egg. Mix well until all the ingredients are well blended. Combine the dry and wet ingredients. Knead the dough until it is smooth and elastic. Mold into a ball figure. Cover and let it rest for 15 minutes.
Divide the dough into 2 parts to make it easier to flatten. Use a rolling pin to flatten the dough and then slice it into small triangles.
Wrap 2 triangular dough near the two sides of each piece of CDO Idol Cheese Dog. Do this step until all cheese dogs are done.
Make an egg wash by mixing the egg wash ingredients. Brush it over the wrapped dough.
Bake for 12 to 15 minutes at 190C or air fry at 180C for 8 minutes. Slice in half and arrange on a serving plate. Serve.
Prepare the Idol Cheese Dog Bread Roll. Flatten each slice of bread using a rolling pin. Spread mayonnaise on one side. Wrap the bread around each CDO Idol Cheese Dog. Secure with a toothpick.
Heat the oil in a small cooking pot.
While the oil is heating up. Dip the wrapped cheese dog in beaten egg and then roll it over the Panko breadcrumbs until it gets completely coated. Deep fry until the breading turns golden brown. Slice into half and arrange on a serving plate. Share and enjoy!"
https://panlasangpinoy.com/perfect-chicken-adobo-on-a-budget/,Perfect Chicken Adobo on a Budget,Main Course,"2 lbs. chicken cut into serving pieces, 1 Knorr Chicken Cube, 5 eggs medium size, ¼ cup soy sauce, ¼ cup vinegar, 1 cup water, 3 bay leaves, 2 teaspoons whole peppercorn, 8 cloves garlic crushed, 1 teaspoon sugar, 3 tablespoons cooking oil","Combine chicken, soy sauce, vinegar, and 5 cloves garlic. Mix well until all ingredients are well incorporated. Marinate for 30 minutes.
Meanwhile, boil the eggs for 10 minutes. Let the eggs cool down afterwards and peel off the shell.
Heat oil in a pan. sauté the remaining garlic until it starts to turn brown.
Add the marinated chicken (do not include the marinade yet). Cook for 3 minutes.
Pour the remaining marinade into the pan and add water. Let boil.
Add bay leaves, whole peppercorn, and Knorr Chicken Cube. Stir. Cover the pan and continue cooking using low to medium heat for 15 to 20 minutes.
Add the sugar and put the eggs into the pan. Gently stir. Cook for 2 minutes.
Transfer to a serving plate and serve along with a huge bowl of newly cooked rice.
Share and enjoy!"
https://panlasangpinoy.com/creamy-mushroom-chicken/,Creamy Mushroom Chicken,Main Course,"1 ½ lbs. chicken cut into serving pieces, 1 Knorr Chicken Cube, 1 cup all-purpose cream, 1 carrot sliced, 12 long green beans, 10 ounces button mushroom canned, 1 onion chopped, 5 cloves garlic chopped, 1 tablespoon roasted garlic, ½ teaspoon salt, ¼ teaspoon ground black pepper, 2 tablespoons butter unsalted, 1 ¼ cups water, 4 tablespoons cooking oil","Rub salt and ground black pepper all over the chicken pieces. Let it stay for 5 minutes.
Heat 2 tablespoons oil in a pan. Sauté carrot and long green beans for 2 minutes. Season with salt. Remove from the pan and set aside.
Add remaining oil in the pan. Once the oil gets hot, pan fry the chicken for 1 to 2 minutes per side. Remove the chicken and place in a clean plate. Set aside.
Melt the butter in the pan. Sauté the garlic until it starts to turn light brown.
Add the onion. Continue cooking until the onion softens.
Put the chicken back into the pan. Sauté for 2 minutes.
Pour the water in the pan and let it boil.
Add the Knorr Chicken cube. Cover the pan and continue cooking for 15 minutes.
Pour the all-purpose cream, add the mushroom, and roasted garlic. Cook for 1 minute.
Add the carrot and long green beans. Season with salt and ground black pepper as needed.
Transfer to a serving plate. Serve warm with rice.
Share and enjoy!"
https://panlasangpinoy.com/cassava-cake-recipe-creamy-and-cheesy-version/,Cassava Cake Recipe Creamy and Cheesy Version,Dessert,"2 lbs. cassava grated, 2 cups coconut cream, 12 ounces evaporated milk, 3 eggs, 3 tablespoons butter melted, 1/2 cup quick-melt cheese shredded, 14 ounces condensed milk, 1 cup coconut cream, 7 ounces condensed milk, 1 cup quick-melt cheese shredded, 4 tablespoons butter melted","Preheat oven to 350F.
Combine the wet ingredients in a mixing bowl starting by cracking the eggs. Beat until smooth. Pour the evaporated milk, condensed milk, butter, and coconut milk. Whisk everything together until the mixture smoothens.
Add the grated cassava and ½ cup cheese in the bowl where the wet ingredients are at. Mix well.
Transfer the mixture into a greased baking pan. Bake for 1 hour.
Prepare the topping my mixing all the toping ingredients in a clean bowl. Mix everything together. Set aside.
Pour the topping mixture over the baked cassava. Put the baking pan back in the oven. Continue baking for 350F until the topping thickens. Note: You will notice that it will burn a bit, that is normal.
Remove the baking pan from the oven. Let the cassava cake cool down.
Slice the cake into serving pieces. Serve for dessert."
https://panlasangpinoy.com/chicken-mechado/,Chicken Mechado,Main Course,"2 lbs. chicken cut into serving pieces, 1 Knorr Chicken Cube, 2 potatoes sliced, 3 tablespoons soy sauce, 1 lemon, 8 ounces tomato sauce, 1 bell pepper optional, 1 cup water, 3 laurel leaves, 1 onion chopped, 3 cloves garlic chopped, ½ teaspoon sugar, Salt and ground black pepper to taste, 4 tablespoons cooking oil","Heat oil in a pan. Fry the potatoes for 3 minutes per side. Remove from the pan. Set aside.
Sauté onion and garlic until the former softens.
Add chicken pieces. Sauté for 3 to 4 minutes.
Add the soy sauce. Cook for 1 minute.
Add tomato sauce and water. Let it boil.
Add Knorr Chicken Cube and laurel leaves. Cover the pan. Adjust the heat to the lowest setting. Continue cooking for 40 minutes.
Add lemon zest and bell pepper. Cook for 3 minutes.
Put the sugar and fried potato in the pot. Cook for 2 minutes.
Season with salt and ground black pepper.
Serve warm with rice. Share and enjoy!"
https://panlasangpinoy.com/ilocano-pork-igado-recipe/,Igado Recipe,Main Course,"1/2 lbs. pork tenderloin sliced into 2-inch strips, 1/2 lb. pork liver sliced into 2-inch strips, 1/2 lb. pork kidney, 1 Knorr Pork Cube, 1 red bell pepper cut into strips, 1/2 cup green peas, 1 carrot julienne, 3 laurel leaves, 1 onion minced, 5 cloves garlic minced, 6 tablespoons soy sauce, 5 tablespoons white vinegar, 1 1/4 cup water, 4 tablespoons cooking oil, Salt and pepper to taste","Boil the kidney with 4 thumbs of ginger for at least 30 minutes. Let it cool down and slice into 2-inch strips. Set aside.
Heat 2 tablespoons of cooking oil in a pan. Sauté the pork liver for 2 minutes. Remove from the pan and set aside.
Pour the remaining oil in the pan. Once hot, sauté garlic and onion until the latter softens.
Add the pork kidney. Cook for 1 minute.
Add the pork tenderloin. Sauté until the outer layer turns light brown.
Pour the soy sauce and vinegar into the pan. Let the liquid boil. Stir.
Add the laurel leaves and pour water. Let boil. Reduce the heat between low to medium setting. Continue cooking for 40 minutes.
Add Knorr Pork Cube. Cook for 8 minutes.
Add the liver back into the pan. Stir and continue cooking for 3 minutes.
Put the bell pepper, carrot, and green peas.
Season with salt and ground black pepper. Cook for 2 minutes.Transfer to a serving bowl. Serve hot with rice.
Share and enjoy!"
https://panlasangpinoy.com/lemon-garlic-shrimp-pasta/,Lemon Garlic Shrimp Pasta,Main Course,"1 lb. shrimp deveined and shells removed, ½ lb fettuccine pasta, 7.6 ounces all-purpose cream, ½ lemon, 5 cloves garlic crushed and chopped, 15 grape tomatoes halved, ¼ cup parmesan cheese, ¼ cup butter, 2 tablespoons parsley chopped, 3 tablespoons olive oil, Salt and ground black pepper to taste","Cook pasta according to package instructions. You can add a teaspoon of salt before boiling. Set aside.
Heat a pan. Pour-in olive oil. Add the shrimp once the oil gets hot. Saute for 2 minutes or until both sides of the shrimp turns orange in color. Remove the shrimp from the pan and transfer to a clean plate. Set aside.
Heat the remaining oil (if applicable. Otherwise add 2 tablespoons of olive oil). Add 2 tablespoons of butter and continue cooking until the butter melts and starts to bubble.
Add garlic. Cook while continuously stirring for 30 seconds.
Add grape tomatoes. Continue sautéing for 1 minute.
Pour the all-purpose cream into the pan and then add ¼ cup of pasta water (this is the water used to cook the fettuccine). Stir and then add the lemon zest. Let the mixture slowly boil (use medium heat setting). Continue cooking for 1 minute. Season with salt and ground black pepper.
Toss the pasta into the pan. Add the shrimp, parsley, and remaining butter. Continue tossing until all ingredients are incorporated. Top with more parmesan cheese if desired.
Serve warm. Share and enjoy!"
https://panlasangpinoy.com/chicken-katsu-curry/,Chicken Katsu Curry,Main Course,"2 lbs boneless chicken breasts, 1 cup Good Life Breadcrumbs, ¾ cup buttermilk, 3 ounces curry sauce mix, 1 potato cubed, 1 carrot cubed, 1 onion wedged, 2 ¼ cups water, ½ teaspoon salt, ½ teaspoon ground black pepper, 1 cup cooking oil","Rub salt and ground black pepper all over the chicken. Arrange it on a wide bowl and pour the buttermilk. Make sure to coat the entire chicken. Cover the bowl and refrigerate for at least 3 hours.
Meanwhile, make the curry sauce by heating 3 tablespoons of cooking oil in a cooking pot. Sauté the onion until it separates into layers. Add carrot and potato. Continue cooking for 1 minute.
Pour water in the cooking pot. Cover and let it boil. Reduce the heat to medium and continue boiling for 10 minutes.
Add the curry sauce mix. Stir until well blended. Turn the heat off and set the sauce aside while keeping it warm.
Start preparing to fry the chicken by heating the oil to 350F in a deep cooking pot.
Separate the chicken breast from the buttermilk letting excess liquid drip. Dredge the chicken breasts in the Good Life Panko Breadcrumbs until all the sides are completely coated.
Deep fry the chicken for 10 to 12 minutes. Remove from the pot and let the excess oil drip.
Arrange on a plate with curry sauce. Serve with warm rice.
Share and enjoy!"
